school Name,sex,age,address,famsize,parent's cohabitation status,mother's education,father's education,mother's job,father's job,reason to choose this school,guardian,traveltime,studytime,failures,extra educational support,family educational support,extra paid classes,extra-curricular activities,attended nursery,wants to take higher education,internet,romantic,family relationship,freetime,going out with friends,daily alcohol consumption,weekend alcohol consumption,health,absences,Assignments grade,Midterm grade,Final Grade,Total Grades,Daily alcohol label,going out with friends label,famrel label
GP,F,17,urban,Greater than 3,living together,primary education,primary education,at_home,other,course,father,less than 15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,Average,4,5,5,6,16,Very Low,Moderate,Excellent
GP,F,16,urban,Greater than 3,living together,secondary education,secondary education,other,other,near to home,father,less than 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,Excellent,4,6,10,10,26,Very Low,Low,Good
GP,M,16,urban,Less than 3,living together,higher education,secondary education,services,other,reputation,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,Excellent,10,15,15,15,45,Very Low,Low,Excellent
GP,M,16,urban,Less than 3,living together,middle education,middle education,other,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,Average,0,12,12,11,35,Very Low,High,Good
GP,M,15,urban,Less than 3,apart,secondary education,middle education,services,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,Very bad,0,16,18,19,53,Very Low,Low,Good
GP,M,15,urban,Greater than 3,living together,secondary education,higher education,other,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,Excellent,0,14,15,15,44,Very Low,Very Low,Excellent
GP,F,15,urban,Greater than 3,living together,middle education,primary education,services,other,reputation,father,30 min to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,Good,4,10,12,12,34,Very Low,Low,Excellent
GP,M,15,urban,Greater than 3,living together,higher education,secondary education,teacher,other,course,mother,15 to 30 min to 1 hour0 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,Average,2,10,10,11,31,Very Low,Moderate,Excellent
GP,M,15,urban,Greater than 3,apart,middle education,middle education,other,other,near to home,other,less than 15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,Average,0,14,16,16,46,Very Low,Low,Good
GP,F,16,urban,Greater than 3,living together,higher education,higher education,health,other,near to home,mother,less than 15 min,<2 to 5 hours hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,Bad,4,14,14,14,42,Very Low,High,Good
